File Path,Line Number,Violation Type,Priority,Description,Line Content,Suggested Fix
examples/concurrency/migration_guide.asthra,702,empty_params,HIGH,Function with empty parameter list should use (none),"fn main() -> Result<(), string> {","fn main(none) -> Result<(), string> {"
examples/concurrency/migration_guide.asthra,706,auto_type,MEDIUM,Auto type annotation should be explicit type,"let test_data: auto = vec![1, 2, 3, 4, 5];","let test_data: <explicit_type> = vec![1, 2, 3, 4, 5];"
examples/concurrency/migration_guide.asthra,708,auto_type,MEDIUM,Auto type annotation should be explicit type,let tier1_results_result: auto = tier1_simple_processing(test_data.clone());,let tier1_results_result: <explicit_type> = tier1_simple_processing(test_data.clone());
examples/concurrency/migration_guide.asthra,709,auto_type,MEDIUM,Auto type annotation should be explicit type,let tier1_results: auto = match tier1_results_result {;,let tier1_results: <explicit_type> = match tier1_results_result {;
examples/concurrency/migration_guide.asthra,715,auto_type,MEDIUM,Auto type annotation should be explicit type,let tier2_results_result: auto = tier2_managed_processing(test_data);,let tier2_results_result: <explicit_type> = tier2_managed_processing(test_data);
examples/concurrency/migration_guide.asthra,716,auto_type,MEDIUM,Auto type annotation should be explicit type,let tier2_results: auto = match tier2_results_result {;,let tier2_results: <explicit_type> = match tier2_results_result {;
examples/concurrency/migration_guide.asthra,723,auto_type,MEDIUM,Auto type annotation should be explicit type,let tier1_pc_results_result: auto = tier1_producer_consumer();,let tier1_pc_results_result: <explicit_type> = tier1_producer_consumer();
examples/concurrency/migration_guide.asthra,724,auto_type,MEDIUM,Auto type annotation should be explicit type,let tier1_pc_results: auto = match tier1_pc_results_result {;,let tier1_pc_results: <explicit_type> = match tier1_pc_results_result {;
examples/concurrency/migration_guide.asthra,730,auto_type,MEDIUM,Auto type annotation should be explicit type,let tier2_pc_results_result: auto = tier2_producer_consumer();,let tier2_pc_results_result: <explicit_type> = tier2_producer_consumer();
examples/concurrency/migration_guide.asthra,731,auto_type,MEDIUM,Auto type annotation should be explicit type,let tier2_pc_results: auto = match tier2_pc_results_result {;,let tier2_pc_results: <explicit_type> = match tier2_pc_results_result {;
examples/concurrency/migration_guide.asthra,738,auto_type,MEDIUM,Auto type annotation should be explicit type,let go_result_result: auto = go_to_asthra_tier1(100);,let go_result_result: <explicit_type> = go_to_asthra_tier1(100);
examples/concurrency/migration_guide.asthra,739,auto_type,MEDIUM,Auto type annotation should be explicit type,let go_result: auto = match go_result_result {;,let go_result: <explicit_type> = match go_result_result {;
examples/concurrency/migration_guide.asthra,745,auto_type,MEDIUM,Auto type annotation should be explicit type,let rust_result_result: auto = rust_to_asthra_tier1();,let rust_result_result: <explicit_type> = rust_to_asthra_tier1();
examples/concurrency/migration_guide.asthra,746,auto_type,MEDIUM,Auto type annotation should be explicit type,let rust_result: auto = match rust_result_result {;,let rust_result: <explicit_type> = match rust_result_result {;
examples/concurrency/migration_guide.asthra,752,auto_type,MEDIUM,Auto type annotation should be explicit type,let java_results_result: auto = java_executor_to_asthra();,let java_results_result: <explicit_type> = java_executor_to_asthra();
examples/concurrency/migration_guide.asthra,753,auto_type,MEDIUM,Auto type annotation should be explicit type,let java_results: auto = match java_results_result {;,let java_results: <explicit_type> = match java_results_result {;
examples/concurrency/migration_guide.asthra,760,auto_type,MEDIUM,Auto type annotation should be explicit type,let test_data_large: auto = (0..100).collect();,let test_data_large: <explicit_type> = (0..100).collect();
examples/concurrency/migration_guide.asthra,762,auto_type,MEDIUM,Auto type annotation should be explicit type,let naive_results_result: auto = naive_parallel(test_data_large.clone());,let naive_results_result: <explicit_type> = naive_parallel(test_data_large.clone());
examples/concurrency/migration_guide.asthra,763,auto_type,MEDIUM,Auto type annotation should be explicit type,let naive_results: auto = match naive_results_result {;,let naive_results: <explicit_type> = match naive_results_result {;
examples/concurrency/migration_guide.asthra,769,auto_type,MEDIUM,Auto type annotation should be explicit type,let optimized_results_result: auto = optimized_chunked(test_data_large.clone());,let optimized_results_result: <explicit_type> = optimized_chunked(test_data_large.clone());
examples/concurrency/migration_guide.asthra,770,auto_type,MEDIUM,Auto type annotation should be explicit type,let optimized_results: auto = match optimized_results_result {;,let optimized_results: <explicit_type> = match optimized_results_result {;
examples/concurrency/migration_guide.asthra,776,auto_type,MEDIUM,Auto type annotation should be explicit type,let pool_results_result: auto = optimized_worker_pool(test_data_large);,let pool_results_result: <explicit_type> = optimized_worker_pool(test_data_large);
examples/concurrency/migration_guide.asthra,777,auto_type,MEDIUM,Auto type annotation should be explicit type,let pool_results: auto = match pool_results_result {;,let pool_results: <explicit_type> = match pool_results_result {;
examples/concurrency/migration_guide.asthra,786,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","println(""Robust error handling: {:.1}% success rate ({}/{})"",","Convert to concatenation: ""println(""Robust error handling:"" + :.1 + ""% success rate ({}/{})"","""
examples/concurrency/tier1_basic.asthra,50,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_result_collection() -> Result<Vec<i32>, string> {","fn example_result_collection(none) -> Result<Vec<i32>, string> {"
examples/concurrency/tier1_basic.asthra,53,auto_type,MEDIUM,Auto type annotation should be explicit type,let handles: auto = [];,let handles: <explicit_type> = [];
examples/concurrency/tier1_basic.asthra,57,auto_type,MEDIUM,Auto type annotation should be explicit type,let handle: auto = spawn_with_handle compute_square(i);,let handle: <explicit_type> = spawn_with_handle compute_square(i);
examples/concurrency/tier1_basic.asthra,64,auto_type,MEDIUM,Auto type annotation should be explicit type,let result_result: auto = await handle;,let result_result: <explicit_type> = await handle;
examples/concurrency/tier1_basic.asthra,65,auto_type,MEDIUM,Auto type annotation should be explicit type,let result: auto = match result_result {;,let result: <explicit_type> = match result_result {;
examples/concurrency/tier1_basic.asthra,80,auto_type,MEDIUM,Auto type annotation should be explicit type,let result: auto = n * n;,let result: <explicit_type> = n * n;
examples/concurrency/tier1_basic.asthra,96,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_parallel_file_processing() -> Result<Vec<FileInfo>, string> {","fn example_parallel_file_processing(none) -> Result<Vec<FileInfo>, string> {"
examples/concurrency/tier1_basic.asthra,97,auto_type,MEDIUM,Auto type annotation should be explicit type,let filenames: auto = vec![;,let filenames: <explicit_type> = vec![;
examples/concurrency/tier1_basic.asthra,111,auto_type,MEDIUM,Auto type annotation should be explicit type,let handle: auto = spawn_with_handle process_file(filename);,let handle: <explicit_type> = spawn_with_handle process_file(filename);
examples/concurrency/tier1_basic.asthra,135,auto_type,MEDIUM,Auto type annotation should be explicit type,let content_result: auto = read_file_content(filename.clone());,let content_result: <explicit_type> = read_file_content(filename.clone());
examples/concurrency/tier1_basic.asthra,136,auto_type,MEDIUM,Auto type annotation should be explicit type,let content: auto = match content_result {;,let content: <explicit_type> = match content_result {;
examples/concurrency/tier1_basic.asthra,140,auto_type,MEDIUM,Auto type annotation should be explicit type,let size: auto = content.len();,let size: <explicit_type> = content.len();
examples/concurrency/tier1_basic.asthra,141,auto_type,MEDIUM,Auto type annotation should be explicit type,let checksum_result: auto = calculate_checksum(content);,let checksum_result: <explicit_type> = calculate_checksum(content);
examples/concurrency/tier1_basic.asthra,142,auto_type,MEDIUM,Auto type annotation should be explicit type,let checksum: auto = match checksum_result {;,let checksum: <explicit_type> = match checksum_result {;
examples/concurrency/tier1_basic.asthra,160,auto_type,MEDIUM,Auto type annotation should be explicit type,"let content: auto = format!(""Content of {}"", filename);","let content: <explicit_type> = format!(""Content of {}"", filename);"
examples/concurrency/tier1_basic.asthra,167,auto_type,MEDIUM,Auto type annotation should be explicit type,let hash: auto = content.len() * 31; // Simple hash;,let hash: <explicit_type> = content.len() * 31; // Simple hash;
examples/concurrency/tier1_basic.asthra,175,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_sequential_dependencies() -> Result<string, string> {","fn example_sequential_dependencies(none) -> Result<string, string> {"
examples/concurrency/tier1_basic.asthra,179,auto_type,MEDIUM,Auto type annotation should be explicit type,let prep_handle: auto = spawn_with_handle prepare_data();,let prep_handle: <explicit_type> = spawn_with_handle prepare_data();
examples/concurrency/tier1_basic.asthra,180,auto_type,MEDIUM,Auto type annotation should be explicit type,let prepared_data_result: auto = await prep_handle;,let prepared_data_result: <explicit_type> = await prep_handle;
examples/concurrency/tier1_basic.asthra,181,auto_type,MEDIUM,Auto type annotation should be explicit type,let prepared_data: auto = match prepared_data_result {;,let prepared_data: <explicit_type> = match prepared_data_result {;
examples/concurrency/tier1_basic.asthra,188,auto_type,MEDIUM,Auto type annotation should be explicit type,let process_handle: auto = spawn_with_handle process_data(prepared_data);,let process_handle: <explicit_type> = spawn_with_handle process_data(prepared_data);
examples/concurrency/tier1_basic.asthra,189,auto_type,MEDIUM,Auto type annotation should be explicit type,let processed_data_result: auto = await process_handle;,let processed_data_result: <explicit_type> = await process_handle;
examples/concurrency/tier1_basic.asthra,190,auto_type,MEDIUM,Auto type annotation should be explicit type,let processed_data: auto = match processed_data_result {;,let processed_data: <explicit_type> = match processed_data_result {;
examples/concurrency/tier1_basic.asthra,197,auto_type,MEDIUM,Auto type annotation should be explicit type,let finalize_handle: auto = spawn_with_handle finalize_data(processed_data);,let finalize_handle: <explicit_type> = spawn_with_handle finalize_data(processed_data);
examples/concurrency/tier1_basic.asthra,198,auto_type,MEDIUM,Auto type annotation should be explicit type,let final_result_result: auto = await finalize_handle;,let final_result_result: <explicit_type> = await finalize_handle;
examples/concurrency/tier1_basic.asthra,199,auto_type,MEDIUM,Auto type annotation should be explicit type,let final_result: auto = match final_result_result {;,let final_result: <explicit_type> = match final_result_result {;
examples/concurrency/tier1_basic.asthra,208,empty_params,HIGH,Function with empty parameter list should use (none),"fn prepare_data() -> Result<string, string> {","fn prepare_data(none) -> Result<string, string> {"
examples/concurrency/tier1_basic.asthra,247,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_cpu_bound_computation() -> Result<Vec<i64>, string> {","fn example_cpu_bound_computation(none) -> Result<Vec<i64>, string> {"
examples/concurrency/tier1_basic.asthra,248,auto_type,MEDIUM,Auto type annotation should be explicit type,"let numbers: auto = vec![25, 30, 35, 40, 45, 50];","let numbers: <explicit_type> = vec![25, 30, 35, 40, 45, 50];"
examples/concurrency/tier1_basic.asthra,256,auto_type,MEDIUM,Auto type annotation should be explicit type,let handle: auto = spawn_with_handle compute_fibonacci(number);,let handle: <explicit_type> = spawn_with_handle compute_fibonacci(number);
examples/concurrency/tier1_basic.asthra,291,auto_type,MEDIUM,Auto type annotation should be explicit type,let temp: auto = a + b;,let temp: <explicit_type> = a + b;
examples/concurrency/tier1_basic.asthra,336,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_parallel_matrix_multiply() -> Result<Matrix, string> {","fn example_parallel_matrix_multiply(none) -> Result<Matrix, string> {"
examples/concurrency/tier1_basic.asthra,338,auto_type,MEDIUM,Auto type annotation should be explicit type,"let matrix_a: auto = Matrix::new(size, size);","let matrix_a: <explicit_type> = Matrix::new(size, size);"
examples/concurrency/tier1_basic.asthra,339,auto_type,MEDIUM,Auto type annotation should be explicit type,"let matrix_b: auto = Matrix::new(size, size);","let matrix_b: <explicit_type> = Matrix::new(size, size);"
examples/concurrency/tier1_basic.asthra,343,auto_type,MEDIUM,Auto type annotation should be explicit type,let cpu_count: auto = get_cpu_count();,let cpu_count: <explicit_type> = get_cpu_count();
examples/concurrency/tier1_basic.asthra,344,auto_type,MEDIUM,Auto type annotation should be explicit type,"let chunk_size: auto = max(1, size / cpu_count);","let chunk_size: <explicit_type> = max(1, size / cpu_count);"
examples/concurrency/tier1_basic.asthra,350,auto_type,MEDIUM,Auto type annotation should be explicit type,"let end_row: auto = min(start_row + chunk_size, size);","let end_row: <explicit_type> = min(start_row + chunk_size, size);"
examples/concurrency/tier1_basic.asthra,351,auto_type,MEDIUM,Auto type annotation should be explicit type,let a_clone: auto = matrix_a.clone();,let a_clone: <explicit_type> = matrix_a.clone();
examples/concurrency/tier1_basic.asthra,352,auto_type,MEDIUM,Auto type annotation should be explicit type,let b_clone: auto = matrix_b.clone();,let b_clone: <explicit_type> = matrix_b.clone();
examples/concurrency/tier1_basic.asthra,354,auto_type,MEDIUM,Auto type annotation should be explicit type,let handle: auto = spawn_with_handle move || {;,let handle: <explicit_type> = spawn_with_handle move || {;
examples/concurrency/tier1_basic.asthra,363,auto_type,MEDIUM,Auto type annotation should be explicit type,let chunk_result: auto = await handle;,let chunk_result: <explicit_type> = await handle;
examples/concurrency/tier1_basic.asthra,364,auto_type,MEDIUM,Auto type annotation should be explicit type,let chunk: auto = match chunk_result {;,let chunk: <explicit_type> = match chunk_result {;
examples/concurrency/tier1_basic.asthra,372,auto_type,MEDIUM,Auto type annotation should be explicit type,"let result_result: auto = combine_matrix_chunks(result_chunks, size, size);","let result_result: <explicit_type> = combine_matrix_chunks(result_chunks, size, size);"
examples/concurrency/tier1_basic.asthra,373,auto_type,MEDIUM,Auto type annotation should be explicit type,let result: auto = match result_result {;,let result: <explicit_type> = match result_result {;
examples/concurrency/tier1_basic.asthra,415,auto_type,MEDIUM,Auto type annotation should be explicit type,let global_row: auto = chunk.start_row + local_row;,let global_row: <explicit_type> = chunk.start_row + local_row;
examples/concurrency/tier1_basic.asthra,429,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_robust_error_handling() -> Result<ProcessingSummary, string> {","fn example_robust_error_handling(none) -> Result<ProcessingSummary, string> {"
examples/concurrency/tier1_basic.asthra,430,auto_type,MEDIUM,Auto type annotation should be explicit type,let work_items: auto = generate_work_items(20);,let work_items: <explicit_type> = generate_work_items(20);
examples/concurrency/tier1_basic.asthra,438,auto_type,MEDIUM,Auto type annotation should be explicit type,let handle: auto = spawn_with_handle process_work_item(item);,let handle: <explicit_type> = spawn_with_handle process_work_item(item);
examples/concurrency/tier1_basic.asthra,463,auto_type,MEDIUM,Auto type annotation should be explicit type,let summary: auto = ProcessingSummary {;,let summary: <explicit_type> = ProcessingSummary {;
examples/concurrency/tier1_basic.asthra,557,empty_params,HIGH,Function with empty parameter list should use (none),fn get_cpu_count() -> usize {,fn get_cpu_count(none) -> usize {
examples/concurrency/tier1_basic.asthra,578,empty_params,HIGH,Function with empty parameter list should use (none),"fn main() -> Result<(), string> {","fn main(none) -> Result<(), string> {"
examples/concurrency/tier1_basic.asthra,587,auto_type,MEDIUM,Auto type annotation should be explicit type,let results_result: auto = example_result_collection();,let results_result: <explicit_type> = example_result_collection();
examples/concurrency/tier1_basic.asthra,588,auto_type,MEDIUM,Auto type annotation should be explicit type,let results: auto = match results_result {;,let results: <explicit_type> = match results_result {;
examples/concurrency/tier1_basic.asthra,596,auto_type,MEDIUM,Auto type annotation should be explicit type,let file_infos_result: auto = example_parallel_file_processing();,let file_infos_result: <explicit_type> = example_parallel_file_processing();
examples/concurrency/tier1_basic.asthra,597,auto_type,MEDIUM,Auto type annotation should be explicit type,let file_infos: auto = match file_infos_result {;,let file_infos: <explicit_type> = match file_infos_result {;
examples/concurrency/tier1_basic.asthra,605,auto_type,MEDIUM,Auto type annotation should be explicit type,let final_result_result: auto = example_sequential_dependencies();,let final_result_result: <explicit_type> = example_sequential_dependencies();
examples/concurrency/tier1_basic.asthra,606,auto_type,MEDIUM,Auto type annotation should be explicit type,let final_result: auto = match final_result_result {;,let final_result: <explicit_type> = match final_result_result {;
examples/concurrency/tier1_basic.asthra,614,auto_type,MEDIUM,Auto type annotation should be explicit type,let fibonacci_results_result: auto = example_cpu_bound_computation();,let fibonacci_results_result: <explicit_type> = example_cpu_bound_computation();
examples/concurrency/tier1_basic.asthra,615,auto_type,MEDIUM,Auto type annotation should be explicit type,let fibonacci_results: auto = match fibonacci_results_result {;,let fibonacci_results: <explicit_type> = match fibonacci_results_result {;
examples/concurrency/tier1_basic.asthra,623,auto_type,MEDIUM,Auto type annotation should be explicit type,let matrix_result_result: auto = example_parallel_matrix_multiply();,let matrix_result_result: <explicit_type> = example_parallel_matrix_multiply();
examples/concurrency/tier1_basic.asthra,624,auto_type,MEDIUM,Auto type annotation should be explicit type,let matrix_result: auto = match matrix_result_result {;,let matrix_result: <explicit_type> = match matrix_result_result {;
examples/concurrency/tier1_basic.asthra,632,auto_type,MEDIUM,Auto type annotation should be explicit type,let summary_result: auto = example_robust_error_handling();,let summary_result: <explicit_type> = example_robust_error_handling();
examples/concurrency/tier1_basic.asthra,633,auto_type,MEDIUM,Auto type annotation should be explicit type,let summary: auto = match summary_result {;,let summary: <explicit_type> = match summary_result {;
examples/concurrency/tier1_basic.asthra,637,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","println(""Processing summary: {:.1}% success rate"", summary.success_rate);","Convert to concatenation: ""println(""Processing summary:"" + :.1 + ""% success rate"", summary.success_rate);"""
examples/concurrency/tier2_advanced.asthra,13,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_basic_channels() -> Result<Vec<i32>, string> {","fn example_basic_channels(none) -> Result<Vec<i32>, string> {"
examples/concurrency/tier2_advanced.asthra,17,auto_type,MEDIUM,Auto type annotation should be explicit type,let channel_pair_result: auto = channels.channel_pair<i32>(10);,let channel_pair_result: <explicit_type> = channels.channel_pair<i32>(10);
examples/concurrency/tier2_advanced.asthra,24,auto_type,MEDIUM,Auto type annotation should be explicit type,let producer: auto = spawn_with_handle move || {;,let producer: <explicit_type> = spawn_with_handle move || {;
examples/concurrency/tier2_advanced.asthra,48,auto_type,MEDIUM,Auto type annotation should be explicit type,let consumer: auto = spawn_with_handle move || {;,let consumer: <explicit_type> = spawn_with_handle move || {;
examples/concurrency/tier2_advanced.asthra,76,auto_type,MEDIUM,Auto type annotation should be explicit type,let results_result: auto = await consumer;,let results_result: <explicit_type> = await consumer;
examples/concurrency/tier2_advanced.asthra,77,auto_type,MEDIUM,Auto type annotation should be explicit type,let results: auto = match results_result {;,let results: <explicit_type> = match results_result {;
examples/concurrency/tier2_advanced.asthra,91,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_multi_producer() -> Result<ProcessingReport, string> {","fn example_multi_producer(none) -> Result<ProcessingReport, string> {"
examples/concurrency/tier2_advanced.asthra,94,auto_type,MEDIUM,Auto type annotation should be explicit type,let channel_pair_result: auto = channels.channel_pair<WorkMessage>(50);,let channel_pair_result: <explicit_type> = channels.channel_pair<WorkMessage>(50);
examples/concurrency/tier2_advanced.asthra,104,auto_type,MEDIUM,Auto type annotation should be explicit type,let sender_clone: auto = sender.clone();,let sender_clone: <explicit_type> = sender.clone();
examples/concurrency/tier2_advanced.asthra,105,auto_type,MEDIUM,Auto type annotation should be explicit type,let handle: auto = spawn_with_handle move || {;,let handle: <explicit_type> = spawn_with_handle move || {;
examples/concurrency/tier2_advanced.asthra,112,auto_type,MEDIUM,Auto type annotation should be explicit type,let consumer: auto = spawn_with_handle move || {;,let consumer: <explicit_type> = spawn_with_handle move || {;
examples/concurrency/tier2_advanced.asthra,131,auto_type,MEDIUM,Auto type annotation should be explicit type,let report_result: auto = await consumer;,let report_result: <explicit_type> = await consumer;
examples/concurrency/tier2_advanced.asthra,132,auto_type,MEDIUM,Auto type annotation should be explicit type,let report: auto = match report_result {;,let report: <explicit_type> = match report_result {;
examples/concurrency/tier2_advanced.asthra,157,auto_type,MEDIUM,Auto type annotation should be explicit type,let message: auto = WorkMessage {;,let message: <explicit_type> = WorkMessage {;
examples/concurrency/tier2_advanced.asthra,188,auto_type,MEDIUM,Auto type annotation should be explicit type,let start_time: auto = get_current_time_ms();,let start_time: <explicit_type> = get_current_time_ms();
examples/concurrency/tier2_advanced.asthra,213,auto_type,MEDIUM,Auto type annotation should be explicit type,let end_time: auto = get_current_time_ms();,let end_time: <explicit_type> = get_current_time_ms();
examples/concurrency/tier2_advanced.asthra,214,auto_type,MEDIUM,Auto type annotation should be explicit type,let processing_time: auto = end_time - start_time;,let processing_time: <explicit_type> = end_time - start_time;
examples/concurrency/tier2_advanced.asthra,230,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_select_operations() -> Result<SelectionResults, string> {","fn example_select_operations(none) -> Result<SelectionResults, string> {"
examples/concurrency/tier2_advanced.asthra,234,auto_type,MEDIUM,Auto type annotation should be explicit type,let ch_numbers_result: auto = channels.channel<i32>(5);,let ch_numbers_result: <explicit_type> = channels.channel<i32>(5);
examples/concurrency/tier2_advanced.asthra,235,auto_type,MEDIUM,Auto type annotation should be explicit type,let ch_numbers: auto = match ch_numbers_result {;,let ch_numbers: <explicit_type> = match ch_numbers_result {;
examples/concurrency/tier2_advanced.asthra,239,auto_type,MEDIUM,Auto type annotation should be explicit type,let ch_strings_result: auto = channels.channel<string>(5);,let ch_strings_result: <explicit_type> = channels.channel<string>(5);
examples/concurrency/tier2_advanced.asthra,240,auto_type,MEDIUM,Auto type annotation should be explicit type,let ch_strings: auto = match ch_strings_result {;,let ch_strings: <explicit_type> = match ch_strings_result {;
examples/concurrency/tier2_advanced.asthra,244,auto_type,MEDIUM,Auto type annotation should be explicit type,let ch_control_result: auto = channels.channel<ControlMessage>(2);,let ch_control_result: <explicit_type> = channels.channel<ControlMessage>(2);
examples/concurrency/tier2_advanced.asthra,245,auto_type,MEDIUM,Auto type annotation should be explicit type,let ch_control: auto = match ch_control_result {;,let ch_control: <explicit_type> = match ch_control_result {;
examples/concurrency/tier2_advanced.asthra,251,auto_type,MEDIUM,Auto type annotation should be explicit type,let number_producer: auto = spawn_with_handle move || {;,let number_producer: <explicit_type> = spawn_with_handle move || {;
examples/concurrency/tier2_advanced.asthra,255,auto_type,MEDIUM,Auto type annotation should be explicit type,let string_producer: auto = spawn_with_handle move || {;,let string_producer: <explicit_type> = spawn_with_handle move || {;
examples/concurrency/tier2_advanced.asthra,259,auto_type,MEDIUM,Auto type annotation should be explicit type,let control_producer: auto = spawn_with_handle move || {;,let control_producer: <explicit_type> = spawn_with_handle move || {;
examples/concurrency/tier2_advanced.asthra,264,auto_type,MEDIUM,Auto type annotation should be explicit type,let selector: auto = spawn_with_handle move || {;,let selector: <explicit_type> = spawn_with_handle move || {;
examples/concurrency/tier2_advanced.asthra,283,auto_type,MEDIUM,Auto type annotation should be explicit type,let results_result: auto = await selector;,let results_result: <explicit_type> = await selector;
examples/concurrency/tier2_advanced.asthra,284,auto_type,MEDIUM,Auto type annotation should be explicit type,let results: auto = match results_result {;,let results: <explicit_type> = match results_result {;
examples/concurrency/tier2_advanced.asthra,322,auto_type,MEDIUM,Auto type annotation should be explicit type,"let strings: auto = vec![""hello"", ""world"", ""asthra"", ""concurrent"", ""programming""];","let strings: <explicit_type> = vec![""hello"", ""world"", ""asthra"", ""concurrent"", ""programming""];"
examples/concurrency/tier2_advanced.asthra,338,auto_type,MEDIUM,Auto type annotation should be explicit type,"let messages: auto = vec![ControlMessage.Pause, ControlMessage.Resume, ControlMessage.Stop];","let messages: <explicit_type> = vec![ControlMessage.Pause, ControlMessage.Resume, ControlMessage.Stop];"
examples/concurrency/tier2_advanced.asthra,453,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_worker_pool() -> Result<WorkerPoolResults, string> {","fn example_worker_pool(none) -> Result<WorkerPoolResults, string> {"
examples/concurrency/tier2_advanced.asthra,460,auto_type,MEDIUM,Auto type annotation should be explicit type,let pool_result: auto = patterns.WorkerPool::<TaskResult>::new(pool_size);,let pool_result: <explicit_type> = patterns.WorkerPool::<TaskResult>::new(pool_size);
examples/concurrency/tier2_advanced.asthra,461,auto_type,MEDIUM,Auto type annotation should be explicit type,let pool: auto = match pool_result {;,let pool: <explicit_type> = match pool_result {;
examples/concurrency/tier2_advanced.asthra,468,auto_type,MEDIUM,Auto type annotation should be explicit type,let task: auto = Task {;,let task: <explicit_type> = Task {;
examples/concurrency/tier2_advanced.asthra,510,auto_type,MEDIUM,Auto type annotation should be explicit type,let results: auto = WorkerPoolResults {;,let results: <explicit_type> = WorkerPoolResults {;
examples/concurrency/tier2_advanced.asthra,554,auto_type,MEDIUM,Auto type annotation should be explicit type,let start_time: auto = get_current_time_ms();,let start_time: <explicit_type> = get_current_time_ms();
examples/concurrency/tier2_advanced.asthra,566,auto_type,MEDIUM,Auto type annotation should be explicit type,let end_time: auto = get_current_time_ms();,let end_time: <explicit_type> = get_current_time_ms();
examples/concurrency/tier2_advanced.asthra,567,auto_type,MEDIUM,Auto type annotation should be explicit type,let processing_time: auto = end_time - start_time;,let processing_time: <explicit_type> = end_time - start_time;
examples/concurrency/tier2_advanced.asthra,581,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_barrier_synchronization() -> Result<BarrierResults, string> {","fn example_barrier_synchronization(none) -> Result<BarrierResults, string> {"
examples/concurrency/tier2_advanced.asthra,585,auto_type,MEDIUM,Auto type annotation should be explicit type,let barrier_result: auto = coordination.create_barrier(worker_count);,let barrier_result: <explicit_type> = coordination.create_barrier(worker_count);
examples/concurrency/tier2_advanced.asthra,586,auto_type,MEDIUM,Auto type annotation should be explicit type,let barrier: auto = match barrier_result {;,let barrier: <explicit_type> = match barrier_result {;
examples/concurrency/tier2_advanced.asthra,595,auto_type,MEDIUM,Auto type annotation should be explicit type,let barrier_ref: auto = barrier.clone();,let barrier_ref: <explicit_type> = barrier.clone();
examples/concurrency/tier2_advanced.asthra,596,auto_type,MEDIUM,Auto type annotation should be explicit type,let handle: auto = spawn_with_handle move || {;,let handle: <explicit_type> = spawn_with_handle move || {;
examples/concurrency/tier2_advanced.asthra,605,auto_type,MEDIUM,Auto type annotation should be explicit type,let result_result: auto = await handle;,let result_result: <explicit_type> = await handle;
examples/concurrency/tier2_advanced.asthra,606,auto_type,MEDIUM,Auto type annotation should be explicit type,let result: auto = match result_result {;,let result: <explicit_type> = match result_result {;
examples/concurrency/tier2_advanced.asthra,613,auto_type,MEDIUM,Auto type annotation should be explicit type,let results: auto = BarrierResults {;,let results: <explicit_type> = BarrierResults {;
examples/concurrency/tier2_advanced.asthra,636,auto_type,MEDIUM,Auto type annotation should be explicit type,let start_time: auto = get_current_time_ms();,let start_time: <explicit_type> = get_current_time_ms();
examples/concurrency/tier2_advanced.asthra,642,auto_type,MEDIUM,Auto type annotation should be explicit type,let phase1_start: auto = get_current_time_ms();,let phase1_start: <explicit_type> = get_current_time_ms();
examples/concurrency/tier2_advanced.asthra,646,auto_type,MEDIUM,Auto type annotation should be explicit type,let phase1_time: auto = get_current_time_ms() - phase1_start;,let phase1_time: <explicit_type> = get_current_time_ms() - phase1_start;
examples/concurrency/tier2_advanced.asthra,659,auto_type,MEDIUM,Auto type annotation should be explicit type,let phase2_start: auto = get_current_time_ms();,let phase2_start: <explicit_type> = get_current_time_ms();
examples/concurrency/tier2_advanced.asthra,663,auto_type,MEDIUM,Auto type annotation should be explicit type,let phase2_time: auto = get_current_time_ms() - phase2_start;,let phase2_time: <explicit_type> = get_current_time_ms() - phase2_start;
examples/concurrency/tier2_advanced.asthra,676,auto_type,MEDIUM,Auto type annotation should be explicit type,let phase3_start: auto = get_current_time_ms();,let phase3_start: <explicit_type> = get_current_time_ms();
examples/concurrency/tier2_advanced.asthra,680,auto_type,MEDIUM,Auto type annotation should be explicit type,let phase3_time: auto = get_current_time_ms() - phase3_start;,let phase3_time: <explicit_type> = get_current_time_ms() - phase3_start;
examples/concurrency/tier2_advanced.asthra,692,auto_type,MEDIUM,Auto type annotation should be explicit type,let total_time: auto = get_current_time_ms() - start_time;,let total_time: <explicit_type> = get_current_time_ms() - start_time;
examples/concurrency/tier2_advanced.asthra,725,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_backpressure_control() -> Result<BackpressureResults, string> {","fn example_backpressure_control(none) -> Result<BackpressureResults, string> {"
examples/concurrency/tier2_advanced.asthra,728,auto_type,MEDIUM,Auto type annotation should be explicit type,let buffer_size: auto = 5; // Small buffer to demonstrate backpressure;,let buffer_size: <explicit_type> = 5; // Small buffer to demonstrate backpressure;
